epoch_no,created,consumed,net_change,utxo_count_end,ordinary_created,collateral_return_created,ordinary_consumed,collateral_consumed
240,226102,191882,34220,852837,226102,0,191882,0
241,164611,136236,28375,881212,164611,0,136236,0
242,189200,155673,33527,914739,189200,0,155673,0
243,140928,119091,21837,936576,140928,0,119091,0
244,143488,118772,24716,961292,143488,0,118772,0
245,219689,180885,38804,1000096,219689,0,180885,0
246,368019,288065,79954,1080050,368019,0,288065,0
247,412040,337712,74328,1154378,412040,0,337712,0
248,374687,276598,98089,1252467,374687,0,276598,0
249,479886,370575,109311,1361778,479886,0,370575,0
250,450489,410800,39689,1401467,450489,0,410800,0
251,399384,373097,26287,1427754,399384,0,373097,0
252,340887,285710,55177,1482931,340887,0,285710,0
253,390599,319946,70653,1553584,390599,0,319946,0
254,517488,467331,50157,1603741,517488,0,467331,0
255,411833,347483,64350,1668091,411833,0,347483,0
256,337777,271777,66000,1734091,337777,0,271777,0
257,426727,349342,77385,1811476,426727,0,349342,0
258,417230,431059,-13829,1797647,417230,0,431059,0
259,500379,435895,64484,1862131,500379,0,435895,0
260,520316,458929,61387,1923518,520316,0,458929,0
261,453820,381133,72687,1996205,453820,0,381133,0
262,396009,344578,51431,2047636,396009,0,344578,0
263,525512,465434,60078,2107714,525512,0,465434,0
264,632589,562073,70516,2178230,632589,0,562073,0
265,743572,637379,106193,2284423,743572,0,637379,0
266,744052,675515,68537,2352960,744052,0,675515,0
267,579251,520102,59149,2412109,579251,0,520102,0
268,463479,404164,59315,2471424,463479,0,404164,0
269,425507,373906,51601,2523025,425507,0,373906,0
270,369899,314693,55206,2578231,369899,0,314693,0
271,318418,274140,44278,2622509,318418,0,274140,0
272,289571,245983,43588,2666097,289571,0,245983,0
273,346818,315288,31530,2697627,346818,0,315288,0
274,299550,268710,30840,2728467,299550,0,268710,0
275,295969,254735,41234,2769701,295969,0,254735,0
276,307873,266372,41501,2811202,307873,0,266372,0
277,292063,249539,42524,2853726,292063,0,249539,0
278,292279,254720,37559,2891285,292279,0,254720,0
279,281221,249330,31891,2923176,281221,0,249330,0
280,293760,493068,-199308,2723868,293760,0,493068,0
281,329101,286781,42320,2766188,329101,0,286781,0
282,355753,313569,42184,2808372,355753,0,313569,0
283,493250,493938,-688,2807684,493250,0,493938,0
284,537822,548790,-10968,2796716,537822,0,548790,0
285,721417,670447,50970,2847686,721417,0,670447,0
286,802652,706516,96136,2943822,802652,0,706516,0
287,878089,803912,74177,3017999,878089,0,803912,0
288,1045573,937251,108322,3126321,1045573,0,937251,0
289,1113710,1025277,88433,3214754,1113710,0,1025277,0
290,951737,826224,125513,3340267,951737,0,826224,0
291,931334,871126,60208,3400475,931334,0,871126,0
292,1019356,882715,136641,3537116,1019356,0,882715,0
293,984716,900121,84595,3621711,984716,0,900121,0
294,886047,917923,-31876,3589835,886047,0,917923,0
295,808630,781316,27314,3617149,808630,0,781316,0
296,803188,724186,79002,3696151,803188,0,724186,0
297,784975,735923,49052,3745203,784975,0,735923,0
298,1035766,919574,116192,3861395,1035766,0,919574,0
299,1309818,1239706,70112,3931507,1309818,0,1239706,0
300,878944,907134,-28190,3903317,878944,0,907134,0
301,1030686,988974,41712,3945029,1030686,0,988974,0
302,2597259,2272799,324460,4269489,2597259,0,2272799,0
303,1177839,1169470,8369,4277858,1177839,0,1169470,0
304,4291714,4140951,150763,4428621,4291714,0,4140951,0
305,1918812,1886864,31948,4460569,1918812,0,1886864,0
306,1236601,1234497,2104,4462673,1236601,0,1234497,0
307,1416063,1334707,81356,4544029,1416063,0,1334707,0
308,971124,972969,-1845,4542184,971124,0,972969,0
309,1314953,1211953,103000,4645184,1314953,0,1211953,0
310,1153298,1119397,33901,4679085,1153298,0,1119397,0
311,1181387,1164959,16428,4695513,1181387,0,1164959,0
312,1345130,1300233,44897,4740410,1345130,0,1300233,0
313,1672702,1604718,67984,4808394,1672702,0,1604718,0
314,1689548,1560132,129416,4937810,1689548,0,1560132,0
315,2282463,2203921,78542,5016352,2282463,0,2203921,0
316,2079165,1956902,122263,5138615,2079165,0,1956902,0
317,2069195,1860416,208779,5347394,2069195,0,1860416,0
318,1839354,1739806,99548,5446942,1839354,0,1739806,0
319,1829869,1738398,91471,5538413,1829869,0,1738398,0
320,1749129,1658027,91102,5629515,1749129,0,1658027,0
321,1800802,1692174,108628,5738143,1800802,0,1692174,0
322,1725476,1642956,82520,5820663,1725476,0,1642956,0
323,1662453,1548875,113578,5934241,1662453,0,1548875,0
324,1646737,1558404,88333,6022574,1646737,0,1558404,0
325,1450232,1357350,92882,6115456,1450232,0,1357350,0
326,1767173,1629186,137987,6253443,1767173,0,1629186,0
327,1653505,1563474,90031,6343474,1653505,0,1563474,0
328,1619676,1576352,43324,6386798,1619676,0,1576352,0
329,1543547,1487125,56422,6443220,1543547,0,1487125,0
330,1410257,1347190,63067,6506287,1410257,0,1347190,0
331,1338901,1262490,76411,6582698,1338901,0,1262490,0
332,1776430,1599271,177159,6759857,1776430,0,1599271,0
333,1775207,1612860,162347,6922204,1775207,0,1612860,0
334,1648711,1519045,129666,7051870,1648711,0,1519045,0
335,1807252,1666909,140343,7192213,1807252,0,1666909,0
336,1662327,1577899,84428,7276641,1662327,0,1577899,0
337,1478738,1384721,94017,7370658,1478738,0,1384721,0
338,1518177,1550949,-32772,7337886,1518177,0,1550949,0
339,1491068,1386436,104632,7442518,1491068,0,1386436,0
340,1351466,1240328,111138,7553656,1351466,0,1240328,0
341,1473421,1397777,75644,7629300,1473421,0,1397777,0
342,1402506,1311818,90688,7719988,1402506,0,1311818,0
343,1390222,1336759,53463,7773451,1390222,0,1336759,0
344,1201070,1217099,-16029,7757422,1201070,0,1217099,0
345,1059659,1021783,37876,7795298,1059659,0,1021783,0
346,991851,913890,77961,7873259,991851,0,913890,0
347,1048028,1021657,26371,7899630,1048028,0,1021657,0
348,1045684,965688,79996,7979626,1045684,0,965688,0
349,1081446,1054390,27056,8006682,1081446,0,1054390,0
350,1002513,947906,54607,8061289,1002513,0,947906,0
